factset_entity_id,fs_perm_sec_id,security_name,fsym_id,Match,Upper,Security,Mkt Val,Position,Market Value Discrepancy,Position Discrepancy
0011M0-E,N138TY-S-US,BERKSHIRE HATHAWAY INC  CL B,N138TY-S,TRUE,BERKSHIRE HATHAWAY INC  CL B,Berkshire Hathaway Inc  Cl B,2790625,12970,2605543,
0011M0-E,PB11JK-S-US,BLACKROCK INC  CL A,PB11JK-S,TRUE,BLACKROCK INC  CL A,Blackrock Inc  Cl A,356513,750,320528,
0011M0-E,FYN093-S-FR,BNP PARIBAS SA  ORD,FYN093-S,TRUE,BNP PARIBAS SA  ORD,Bnp Paribas Sa  Ord,1598939245,33293658,1592923082,
0011M0-E,P8WJT7-S-US,BOEING CO  COM,P8WJT7-S,TRUE,BOEING CO  COM,Boeing Co  Com,345254,974,371503,
0011M0-E,CM333K-S-US,BOOKING HOLDINGS INC  COM,CM333K-S,TRUE,BOOKING HOLDINGS INC  COM,Booking Holdings Inc  Com,2268089511,1181512,2061632104,
0011M0-E,G7VKY3-S-US,BOSTON SCIENTIFIC CORP  COM,G7VKY3-S,TRUE,BOSTON SCIENTIFIC CORP  COM,Boston Scientific Corp  Com,7534639,176745,6783473,
0011M0-E,W733DQ-S-US,BRIGHTHOUSE FINANCIAL INC  COM,W733DQ-S,TRUE,BRIGHTHOUSE FINANCIAL INC  COM,Brighthouse Financial Inc  Com,362690522,9904165,359422148,
0011M0-E,H547YV-S-US,BRISTOL MYERS SQUIBB CO  COM,H547YV-S,TRUE,BRISTOL MYERS SQUIBB CO  COM,Bristol Myers Squibb Co  Com,2008943689,43147416,2058563217,
0011M0-E,P0XR3M-S-JP,BROTHER INDUSTRIES LTD  ORD,P0XR3M-S,TRUE,BROTHER INDUSTRIES LTD  ORD,Brother Industries Ltd  Ord,200977985,10314000,190839529,
0011M0-E,X8RFXJ-S-US,CABOT OIL & GAS CORP  CL A,X8RFXJ-S,TRUE,CABOT OIL & GAS CORP  CL A,Cabot Oil & Gas Corp  Cl A,195299,8300,216630,
0011M0-E,KZJPGL-S-US,CADENCE DESIGN SYSTEM INC  COM,KZJPGL-S,TRUE,CADENCE DESIGN SYSTEM INC  COM,Cadence Design System Inc  Com,32564344,435294,27645522,
0011M0-E,LFBF80-S-US,CAPITAL ONE FINANCIAL CORP  COM,LFBF80-S,TRUE,CAPITAL ONE FINANCIAL CORP  COM,Capital One Financial Corp  Com,3823065788,41112655,3358492787,
0011M0-E,J2NC4K-S-US,CARMAX INC  COM,J2NC4K-S,TRUE,CARMAX INC  COM,Carmax Inc  Com,2062480,23200,1619360,
0011M0-E,S48T3X-S-US,CATERPILLAR INC  COM,S48T3X-S,TRUE,CATERPILLAR INC  COM,Caterpillar Inc  Com,6019518,44395,6015079,
0011M0-E,PJQNHD-S-US,CELANESE CORP  COM SER A,PJQNHD-S,TRUE,CELANESE CORP  COM SER A,Celanese Corp  Com Ser A,1155290067,10814285,1066396644,
0011M0-E,RCGQF7-S-US,CEMEX SAB  ADR REP 10 PC 2A/1B,RCGQF7-S,TRUE,CEMEX SAB  ADR REP 10 PC 2A/1B,Cemex Sab  Adr Rep 10 Pc 2A/1B,457276158,107594390,499237970,
0011M0-E,B6VPNM-S-US,CHARLES SCHWAB CORP  COM,B6VPNM-S,TRUE,CHARLES SCHWAB CORP  COM,Charles Schwab Corp  Com,3089809170,76385888,3266260571,
0011M0-E,MTDQ28-S-US,CHARTER COMMUNICATIONS INC  CL A,MTDQ28-S,TRUE,CHARTER COMMUNICATIONS INC  CL A,Charter Communications Inc  Cl A,4758600800,11896502,4127015509,
0011M0-E,MBKTVK-S-US,CHEVRON CORP  COM,MBKTVK-S,TRUE,CHEVRON CORP  COM,Chevron Corp  Com,41998331,340481,41940450,
0011M0-E,M9K04P-S-US,CHUBB LTD  COM,M9K04P-S,TRUE,CHUBB LTD  COM,Chubb Ltd  Com,610316,4062,569005,
0011M0-E,XHJHJN-S-US,CIGNA CORP  COM,XHJHJN-S,TRUE,CIGNA CORP  COM,Cigna Corp  Com,2183940304,13249653,2130809195,
0011M0-E,K14DFC-S-US,CISCO SYSTEMS INC  COM,K14DFC-S,TRUE,CISCO SYSTEMS INC  COM,Cisco Systems Inc  Com,1761770248,31192816,1684100136,
0011M0-E,WHZFF1-S-DE,CITIGROUP INC  NON CUM PFD 5.95%,WHZFF1-S,TRUE,CITIGROUP INC  NON CUM PFD 5.95%,Citigroup Inc  Non Cum Pfd 5.95%,80884042,77327000,-,-
0011M0-E,X23P32-S-DE,CITIGROUP INC  PFD 6.25%,X23P32-S,TRUE,CITIGROUP INC  PFD 6.25%,Citigroup Inc  Pfd 6.25%,50192631,45886000,-,-
0011M0-E,M4BZCX-S-US,CITIGROUP INC  PFD SER A 5.95%49,M4BZCX-S,TRUE,CITIGROUP INC  PFD SER A 5.95%49,Citigroup Inc  Pfd Ser A 5.95%49,5372763,5175000,-,-
0011M0-E,JBFJ2W-S-US,CITRIX SYSTEMS INC  COM,JBFJ2W-S,TRUE,CITRIX SYSTEMS INC  COM,Citrix Systems Inc  Com,548295,5500,548130,
0011M0-E,T0JCXJ-S-US,COCA COLA CO  COM,T0JCXJ-S,TRUE,COCA COLA CO  COM,Coca Cola Co  Com,1535804,29478,1381339,
0011M0-E,LX1RL8-S-US,COLGATE PALMOLIVE CO  COM,LX1RL8-S,TRUE,COLGATE PALMOLIVE CO  COM,Colgate Palmolive Co  Com,1036000,14000,959560,
0011M0-E,M647FF-S-US,COMCAST CORP  CL A,M647FF-S,TRUE,COMCAST CORP  CL A,Comcast Corp  Cl A,5487058228,126663394,5064002492,
0011M0-E,Q8H75K-S-US,CONCHO RESOURCES INC  COM,Q8H75K-S,TRUE,CONCHO RESOURCES INC  COM,Concho Resources Inc  Com,425101622,4302648,477421822,
0011M0-E,L6CX6R-S-US,CONOCOPHILLIPS  COM,L6CX6R-S,TRUE,CONOCOPHILLIPS  COM,Conocophillips  Com,1402874,23188,1547567,
0011M0-E,QWNLSC-S-US,CORNING INC  COM,QWNLSC-S,TRUE,CORNING INC  COM,Corning Inc  Com,15814474,468577,15509899,
0011M0-E,NFLKGD-S-US,CREDIT SUISSE GROUP  ADR,NFLKGD-S,TRUE,CREDIT SUISSE GROUP  ADR,Credit Suisse Group  Adr,7342147,606789,7069092,
0011M0-E,HTPG7V-S-CH,CREDIT SUISSE GROUP  ORD REG,HTPG7V-S,TRUE,CREDIT SUISSE GROUP  ORD REG,Credit Suisse Group  Ord Reg,947989204,78190287,1181941627,101430013
0011M0-E,JDWM79-S-US,CVS HEALTH CORP  COM,JDWM79-S,TRUE,CVS HEALTH CORP  COM,Cvs Health Corp  Com,1095618653,19848164,1070411485,
0011M0-E,NK1C4M-S-US,DANAHER CORP  COM,NK1C4M-S,TRUE,DANAHER CORP  COM,Danaher Corp  Com,684318264,4709368,621730763,
0011M0-E,G5FWH0-S-US,DEERE & CO  COM,G5FWH0-S,TRUE,DEERE & CO  COM,Deere & Co  Com,3068444,18564,2967270,
0011M0-E,H1F53H-S-US,DELL TECHNOLOGIES INC  CL C,H1F53H-S,TRUE,DELL TECHNOLOGIES INC  CL C,Dell Technologies Inc  Cl C,763595222,14429237,846851920,
0011M0-E,K10DTM-S-US,DIAGEO PLC  SPONSORED ADR,K10DTM-S,TRUE,DIAGEO PLC  SPONSORED ADR,Diageo Plc  Sponsored Adr,3986813,22713,3716074,
0011M0-E,X7KY98-S-US,DISH NETWORK CORP  CL A,X7KY98-S,TRUE,DISH NETWORK CORP  CL A,Dish Network Corp  Cl A,1123379651,28368173,898987402,
0011M0-E,LHF4PR-S-US,DOMINION ENERGY INC  COM,LHF4PR-S,TRUE,DOMINION ENERGY INC  COM,Dominion Energy Inc  Com,352432,4512,345890,
0011M0-E,W11X3S-S-US,DOMTAR CORP  COM,W11X3S-S,FALSE,,,,,-,-
0011M0-E,R1CXVP-S-US,DOWDUPONT INC  COM,R1CXVP-S,FALSE,,,,,13371801,83610
0011M0-E,MXV535-S-AE,DP WORLD  ORD,MXV535-S,FALSE,DP WORLD PLC  ORD,Dp World Plc  Ord,132100864,8256304,132100864,
0011M0-E,RPTTVL-S-US,DUKE ENERGY CORP  COM,RPTTVL-S,TRUE,DUKE ENERGY CORP  COM,Duke Energy Corp  Com,609527,6765,608850,
0011M0-E,Q2PLKZ-S-US,DUN & BRADSTREET CORP  COM,Q2PLKZ-S,FALSE,,,,,-,-
,,,,FALSE,DUPONT DE NEMOURS INC  COM,Dupont De Nemours Inc  Com,6202190,83610,-,-
0011M0-E,CP765L-S-US,DXC TECHNOLOGY CO  COM,CP765L-S,TRUE,DXC TECHNOLOGY CO  COM,Dxc Technology Co  Com,4977686,89366,5747127,
0011M0-E,S5G28Y-S-US,EBAY INC  COM,S5G28Y-S,TRUE,EBAY INC  COM,Ebay Inc  Com,2265562,56781,2108846,
0011M0-E,H796XY-S-US,ELANCO ANIMAL HEALTH INC  COM,H796XY-S,FALSE,,,,,-,-
0011M0-E,W38FV3-S-US,ELI LILLY & CO  COM,W38FV3-S,TRUE,ELI LILLY & CO  COM,Eli Lilly & Co  Com,1679616376,14679395,1904798295,
0011M0-E,XGGR1X-S-FR,ENGIE SA  ORD,XGGR1X-S,TRUE,ENGIE SA  ORD,Engie Sa  Ord,672241984,42884500,639470078,
0011M0-E,NJ13K9-S-NO,EQUINOR ASA  ORD,NJ13K9-S,TRUE,EQUINOR ASA  ORD,Equinor Asa  Ord,651789258,32742304,718029559,
0011M0-E,HP44R7-S-US,EXXON MOBIL CORP  COM,HP44R7-S,TRUE,EXXON MOBIL CORP  COM,Exxon Mobil Corp  Com,9456469,123711,9995849,
0011M0-E,HKM5XZ-S-US,FEDEX CORP  COM,HKM5XZ-S,TRUE,FEDEX CORP  COM,Fedex Corp  Com,3149833496,19513279,3539903943,
,,,,FALSE,FOX CORP  CL A,Fox Corp  Cl A,482664460,13278252,-,-
,,,,FALSE,FOX CORP  CL B,Fox Corp  Cl B,146475778,4029595,-,-
0011M0-E,MJBXDM-S-US,FLUOR CORP  COM,MJBXDM-S,FALSE,,,,,-,-
0011M0-E,WGRK09-S-JP,FUJITSU LTD  ORD,WGRK09-S,TRUE,FUJITSU LTD  ORD,Fujitsu Ltd  Ord,290489550,4030650,290814219,
0011M0-E,T0NLZH-S-US,GAP INC  COM,T0NLZH-S,TRUE,GAP INC  COM,Gap Inc  Com,320197215,17670928,462624895,
0011M0-E,TGW3C4-S-US,GCI LIBERTY INC CL A,TGW3C4-S,TRUE,GCI LIBERTY INC CL A,Gci Liberty Inc Cl A,383331,6104,339443,
0011M0-E,P321KV-S-US,GENERAL ELECTRIC CO  COM,P321KV-S,TRUE,GENERAL ELECTRIC CO  COM,General Electric Co  Com,8405815,792254,7914617,
0011M0-E,D68V9M-S-US,GENERAL MILLS INC  COM,D68V9M-S,TRUE,GENERAL MILLS INC  COM,General Mills Inc  Com,608608,11200,579600,
0011M0-E,BXFH68-S-US,GENUINE PARTS CO  COM,BXFH68-S,TRUE,GENUINE PARTS CO  COM,Genuine Parts Co  Com,1970356,18562,2079501,
0011M0-E,RMF5GJ-S-US,GILEAD SCIENCES INC  COM,RMF5GJ-S,TRUE,GILEAD SCIENCES INC  COM,Gilead Sciences Inc  Com,1178083920,17073680,1109959937,
0011M0-E,G11QT7-S-GB,GLAXOSMITHKLINE PLC  ORD,G11QT7-S,TRUE,GLAXOSMITHKLINE PLC  ORD,Glaxosmithkline Plc  Ord,1403888836,68089126,1310464427,
0011M0-E,KSZPF5-S-US,GLAXOSMITHKLINE PLC  SPONSORED ADR,KSZPF5-S,TRUE,GLAXOSMITHKLINE PLC  SPONSORED ADR,Glaxosmithkline Plc  Sponsored Adr,1987226787,48081945,2009344482,
0011M0-E,HG5HFV-S-US,GOLDMAN SACHS GROUP INC  COM,HG5HFV-S,TRUE,GOLDMAN SACHS GROUP INC  COM,Goldman Sachs Group Inc  Com,2346773554,11389893,2186745557,
0011M0-E,MDYSXZ-S-US,GRUPO TELEVISA SAB  ADR PC A/B/L/D,MDYSXZ-S,TRUE,GRUPO TELEVISA SAB  ADR PC A/B/L/D,Grupo Televisa Sab  Adr Pc A/B/L/D,503984800,58534820,647395109,
0011M0-E,B2GZV8-S-TR,HACI OMER SABANCI HOLDINGS  ORD,B2GZV8-S,TRUE,HACI OMER SABANCI HOLDINGS  ORD,Haci Omer Sabanci Holdings  Ord,66170670,41487354,57572416,
0011M0-E,M1LGZB-S-US,HALLIBURTON CO  COM,M1LGZB-S,TRUE,HALLIBURTON CO  COM,Halliburton Co  Com,654643826,28662164,839801405,
0011M0-E,LP883Q-S-HK,HANG LUNG GROUP LTD  ORD,LP883Q-S,TRUE,HANG LUNG GROUP LTD  ORD,Hang Lung Group Ltd  Ord,379952677,134650000,413516139,128812800
0011M0-E,TQ3YYX-S-US,HARLEY DAVIDSON INC  COM,TQ3YYX-S,TRUE,HARLEY DAVIDSON INC  COM,Harley Davidson Inc  Com,355691455,9809472,349805772,
0011M0-E,PQCHZH-S-US,HESS CORP  COM,PQCHZH-S,FALSE,,,,,-,-
0011M0-E,F9QBSZ-S-US,HEWLETT PACKARD ENTERPRISE CO  COM,F9QBSZ-S,TRUE,HEWLETT PACKARD ENTERPRISE CO  COM,Hewlett Packard Enterprise Co  Com,2399565247,156936903,2421536413,
0011M0-E,DY0D0T-S-US,HOME DEPOT INC  COM,DY0D0T-S,TRUE,HOME DEPOT INC  COM,Home Depot Inc  Com,12302861,58005,11130579,
0011M0-E,XBVTLW-S-JP,HONDA MOTOR CO LTD  ORD,XBVTLW-S,TRUE,HONDA MOTOR CO LTD  ORD,Honda Motor Co Ltd  Ord,882083729,34072455,921958723,
0011M0-E,LKTW6W-S-US,HONEYWELL INTERNATIONAL INC  COM,LKTW6W-S,TRUE,HONEYWELL INTERNATIONAL INC  COM,Honeywell International Inc  Com,1575450,8831,1403423,
0011M0-E,V601BM-S-US,HP INC  COM,V601BM-S,TRUE,HP INC  COM,Hp Inc  Com,1948555397,92086739,1789245339,
0011M0-E,PC5SQ3-S-IN,ICICI BANK LTD  ORD,PC5SQ3-S,TRUE,ICICI BANK LTD  ORD,Icici Bank Ltd  Ord,1860063576,293957573,1692457787,
0011M0-E,BHY29P-S-US,ICICI BANK LTD  SPONSORED ADR,BHY29P-S,TRUE,ICICI BANK LTD  SPONSORED ADR,Icici Bank Ltd  Sponsored Adr,18744370,1488830,17061992,
0011M0-E,SGJQG8-S-US,INCYTE CORP  COM,SGJQG8-S,TRUE,INCYTE CORP  COM,Incyte Corp  Com,368172882,4255350,366002654,
0011M0-E,PJSZYL-S-US,INTEL CORP  COM,PJSZYL-S,TRUE,INTEL CORP  COM,Intel Corp  Com,203784,4200,225540,
0011M0-E,MCPQD9-S-US,INTERNATIONAL BUSINESS MACHINES  COM,MCPQD9-S,TRUE,INTERNATIONAL BUSINESS MACHINES  COM,International Business Machines  Com,10641119,75181,10608039,
0011M0-E,CY6SCY-S-US,ISHARES RUSSELL 2000 VALUE ETF,CY6SCY-S,FALSE,,,,,-,-
0011M0-E,HRGLY7-S-BR,ITAU UNIBANCO HLDG (MULTIPLO)  PFD,HRGLY7-S,TRUE,ITAU UNIBANCO HLDG (MULTIPLO)  PFD,Itau Unibanco Hldg (Multiplo)  Pfd,1373244551,144339044,-,-
0011M0-E,D69FF5-S-US,ITAU UNIBANCO HOLDING SA  ADR PFD,D69FF5-S,TRUE,ITAU UNIBANCO HOLDING SA  ADR PFD,Itau Unibanco Holding Sa  Adr Pfd,85805867,9138005,-,-
0011M0-E,JSL9G5-S-US,JD COM INC  SPONSORED ADR,JSL9G5-S,TRUE,JD COM INC  SPONSORED ADR,Jd Com Inc  Sponsored Adr,1082093576,34352177,1035718137,
0011M0-E,T7HSNM-S-US,JOHNSON & JOHNSON  COM,T7HSNM-S,TRUE,JOHNSON & JOHNSON  COM,Johnson & Johnson  Com,4253113,29922,4182796,
0011M0-E,G4F739-S-US,JOHNSON CONTROLS INTL PLC  COM,G4F739-S,TRUE,JOHNSON CONTROLS INTL PLC  COM,Johnson Controls Intl Plc  Com,4528499486,108259610,3999109993,
0011M0-E,N5N6M6-S-US,JPMORGAN CHASE & CO  COM,N5N6M6-S,TRUE,JPMORGAN CHASE & CO  COM,Jpmorgan Chase & Co  Com,2814042747,24942765,2524956101,
0011M0-E,BNWHWM-S-DE,JPMORGAN CHASE & CO  DEBT,BNWHWM-S,TRUE,JPMORGAN CHASE & CO  DEBT,Jpmorgan Chase & Co  Debt,251100000,232500000,-,-
0011M0-E,W8XCG8-S-US,JUNIPER NETWORKS INC  COM,W8XCG8-S,TRUE,JUNIPER NETWORKS INC  COM,Juniper Networks Inc  Com,1207155709,44593857,1180399395,
0011M0-E,J0CFX0-S-TH,KASIKORNBANK PUBLIC CO LTD  FGN,J0CFX0-S,TRUE,KASIKORNBANK PUBLIC CO LTD  FGN,Kasikornbank Public Co Ltd  Fgn,255840250,40931100,242478292,
0011M0-E,X0NKF2-S-US,KIMBERLY CLARK CORP  COM,X0NKF2-S,TRUE,KIMBERLY CLARK CORP  COM,Kimberly Clark Corp  Com,534031,3860,478254,
0011M0-E,K6NYMC-S-US,KONINKLIJKE PHILIPS NV  ADR,K6NYMC-S,TRUE,KONINKLIJKE PHILIPS NV  ADR,Koninklijke Philips Nv  Adr,968471,21700,886662,
0011M0-E,K5KCNX-S-NL,KONINKLIJKE PHILIPS NV  ORD,K5KCNX-S,FALSE,,,,,371296123,8147560
0011M0-E,S4D2D0-S-US,KRAFT HEINZ CO  COM,S4D2D0-S,FALSE,,,,,-,-
0011M0-E,VV9YQS-S-JP,KYOCERA CORP  ORD,VV9YQS-S,TRUE,KYOCERA CORP  ORD,Kyocera Corp  Ord,902640688,13569200,796854120,
0011M0-E,JNNYHS-S-CH,LAFARGEHOLCIM LTD  ORD REG,JNNYHS-S,TRUE,LAFARGEHOLCIM LTD  ORD REG,Lafargeholcim Ltd  Ord Reg,652918652,13340457,658918656,
0011M0-E,C4CKD3-S-US,LIBERTY GLOBAL PLC  CL A,C4CKD3-S,TRUE,LIBERTY GLOBAL PLC  CL A,Liberty Global Plc  Cl A,512523803,18569703,462756999,
0011M0-E,P5DLYY-S-US,LIBERTY GLOBAL PLC  CL C,P5DLYY-S,TRUE,LIBERTY GLOBAL PLC  CL C,Liberty Global Plc  Cl C,1266367012,47111868,1140578324,
0011M0-E,QTQT3M-S-US,LIBERTY LATIN AMERICA LTD  CL A,QTQT3M-S,FALSE,,,,,-,-
0011M0-E,VXWYP7-S-US,LIBERTY LATIN AMERICA LTD  CL C,VXWYP7-S,FALSE,,,,,-,-
0011M0-E,JPY6CM-S-DE,LINDE AG  ORD,JPY6CM-S,FALSE,,,,,-,-
0011M0-E,NB64DG-S-US,LINDE PLC  COM,NB64DG-S,TRUE,LINDE PLC  COM,Linde Plc  Com,1592676920,7822194,1376158590,
0011M0-E,MH7782-S-GB,LLOYDS BANKING GROUP PLC  ORD,MH7782-S,TRUE,LLOYDS BANKING GROUP PLC  ORD,Lloyds Banking Group Plc  Ord,700936677,957668429,781160560.9,
0011M0-E,BV8916-S-US,LOCKHEED MARTIN CORP  COM,BV8916-S,TRUE,LOCKHEED MARTIN CORP  COM,Lockheed Martin Corp  Com,324083,875,262640,
0011M0-E,N91ZBG-S-US,LOWES COS INC  COM,N91ZBG-S,FALSE,,,,,-,-
0011M0-E,KHRMVQ-S-US,MACYS INC  COM,KHRMVQ-S,TRUE,MACYS INC  COM,Macys Inc  Com,193557,9100,218673,
0011M0-E,C34R8M-S-RU,MAGNIT PJSC  ORD,C34R8M-S,TRUE,MAGNIT PJSC  ORD,Magnit Pjsc  Ord,393983562,6610285,418570466,7554679
0011M0-E,RWB1HB-S-US,MARSH & MCLENNAN COS INC  COM,RWB1HB-S,TRUE,MARSH & MCLENNAN COS INC  COM,Marsh & Mclennan Cos Inc  Com,294351,2860,268554,
0011M0-E,RS1WKD-S-US,MATTEL INC  COM,RS1WKD-S,TRUE,MATTEL INC  COM,Mattel Inc  Com,426450367,37018261,481237393,
0011M0-E,V0BDBS-S-US,MAXIM INTEGRATED PRODUCTS INC  COM,V0BDBS-S,TRUE,MAXIM INTEGRATED PRODUCTS INC  COM,Maxim Integrated Products Inc  Com,523194190,8666460,460795678,
0011M0-E,F1F0GY-S-US,MCDONALDS CORP  COM,F1F0GY-S,TRUE,MCDONALDS CORP  COM,Mcdonalds Corp  Com,3216198,15113,2869959,
0011M0-E,TTHQS7-S-US,MEDTRONIC PLC  COM,TTHQS7-S,TRUE,MEDTRONIC PLC  COM,Medtronic Plc  Com,571136424,5780148,526455880,
0011M0-E,V9FMMN-S-US,MERCK & CO INC  COM,V9FMMN-S,TRUE,MERCK & CO INC  COM,Merck & Co Inc  Com,66799161,768690,63931947,
