Company Name,Shares Equivalent Held(actual),Company Name (DT),Current Position
Commonwealth Bank of Australia,88022378,"Samsung Electronics Co., Ltd.",120292783
"Samsung Electronics Co., Ltd.",122125609,HSBC Holdings Plc,636621911
"Anthem, Inc.",19470785,"PNC Financial Services Group, Inc.",33163595
Toyota Motor Corporation,68907604,"Intuitive Surgical, Inc.",8659655
Cigna Corporation,28701062,Boston Scientific Corporation,104897306
"Intuitive Surgical, Inc.",8826059,"DuPont de Nemours, Inc.",59767465
"PNC Financial Services Group, Inc.",33790607,Cigna Corporation,28165642
CSX Corporation,64212600,Northrop Grumman Corporation,13664911
Welltower Inc.,51909429,Ecolab Inc.,22325312
Boston Scientific Corporation,106871899,Schlumberger NV,110685428
Ecolab Inc.,22709178,"Air Products and Chemicals, Inc.",19359369
Raytheon Company,23037400,Morgan Stanley,98800651
Zoetis Inc.,36765577,Toyota Motor Corp.,65808529
Morgan Stanley,100565425,"EOG Resources, Inc.",44860181
Royal Dutch Shell plc,157101810,"Welltower, Inc.",50887805
BP p.l.c.,709778110,"Illumina, Inc.",11195535
SBA Communications Corporation,18207262,"BlackRock, Inc.",8771653
Target Corporation,40186903,"Zoetis, Inc. Class A",36072273
"Fiserv, Inc.",42885474,"AvalonBay Communities, Inc.",20085578
"DuPont de Nemours, Inc.",60806497,"Waste Management, Inc.",35341292
"Digital Realty Trust, Inc.",33699413,SBA Communications Corp. Class A,18015998
"Micron Technology, Inc.",85741172,Allergan plc,23699663
"AvalonBay Communities, Inc.",20446914,Raytheon Company,22639924
"Air Products and Chemicals, Inc.",19674476,"Digital Realty Trust, Inc.",33168890
Schlumberger Limited,112662996,General Motors Company,100827326
Illinois Tool Works Inc.,26095477,Norfolk Southern Corporation,19440882
Equity Residential,48372951,Illinois Tool Works Inc.,25647075
General Motors Company,102571908,Exelon Corporation,80467030
"Waste Management, Inc.",35963494,"Fiserv, Inc.",42267285
"Walgreens Boots Alliance, Inc.",69381382,Royal Dutch Shell Plc Class A,120290290
General Dynamics Corporation,21270773,Deere & Company,23015492
Allergan plc,24144863,General Dynamics Corporation,20917367
Exelon Corporation,81817730,"Marsh & McLennan Companies, Inc.",38101340
Charles Schwab Corporation,91211828,Naspers Limited Class N,15089217
Deere & Company,23449038,Walgreens Boots Alliance Inc,68281322
"BlackRock, Inc.",8935572,Progressive Corporation,46444699
"American International Group, Inc.",67949027,Kimberly-Clark Corporation,27827398
AstraZeneca PLC,45065907,"Roper Technologies, Inc.",10097229
"Intercontinental Exchange, Inc.",43084259,Aflac Incorporated,67032392
"Marsh & McLennan Companies, Inc.",38854934,"Intercontinental Exchange, Inc.",42292793
The Sherwin-Williams Company,7262410,Equity Residential,47425646
"Applied Materials, Inc.",73187071,Charles Schwab Corporation,89512324
Westpac Banking Corporation,183851270,"Xilinx, Inc.",30215731
Kimberly-Clark Corp.,28327564,"American International Group, Inc.",66737325
Phillips 66,36451696,Vertex Pharmaceuticals Incorporated,19289950
Royal Dutch Shell plc,132252970,Total SA,67312622
Realty Income Corporation,50385673,"Analog Devices, Inc.",31099022
"EOG Resources, Inc.",45641750,Aon plc,18049702
"American Electric Power Company, Inc.",40311023,"American Electric Power Company, Inc.",39488672
CSL Limited,23049170,AIA Group Limited,335860961
"Analog Devices, Inc.",31611473,Realty Income Corporation,49573888
"Roper Technologies, Inc.",10242095,Target Corporation,39468857
TOTAL S.A.,70566388,Biogen Inc.,14538643
Progressive Corporation,47282236,Newmont Goldcorp Corporation,88249854
"WEC Energy Group, Inc.",39434643,SAP SE,27286570
Norfolk Southern Corporation,19837509,Phillips 66,35842776
AIA Group Ltd.,347304665,Kinder Morgan Inc Class P,160488089
Aflac Incorporated,68140817,"Travelers Companies, Inc.",22055887
GlaxoSmithKline plc,170774629,"MetLife, Inc.",66218818
Biogen Inc.,14815354,Sherwin-Williams Company,7140890
Edwards Lifesciences Corporation,15978511,AstraZeneca PLC,37653780
Newmont Goldcorp Corporation,89715566,"Micron Technology, Inc.",84207004
Aon plc,18406729,"Prudential Financial, Inc.",32090386
"ONEOK, Inc.",46629850,WEC Energy Group Inc,38867464
"Essex Property Trust, Inc.",10673644,"Advanced Micro Devices, Inc.",106363208
FedEx Corporation,19749577,"Applied Materials, Inc.",71835035
SAP SE,28497714,Royal Dutch Shell Plc Class B,100889011
Sysco Corporation,44414289,"Ventas, Inc.",46667380
The Estée Lauder Companies Inc.,17300612,FedEx Corporation,19413435
Vertex Pharmaceuticals Incorporated,19661800,"ONEOK, Inc.",45958618
"Ventas, Inc.",47600392,Capital One Financial Corporation,34708082
"Twitter, Inc.",78372606,Royal Bank of Canada,39456955
"Kinder Morgan, Inc.",163647617,Estee Lauder Companies Inc. Class A,16979887
"Ross Stores, Inc.",30829314,Occidental Petroleum Corporation,61772146
Diageo plc,79607872,Emerson Electric Co.,46345670
"Fidelity National Information Services, Inc.",25196366,Sysco Corporation,43681929
"Illumina, Inc.",11409128,Amphenol Corporation Class A,31965645
Eversource Energy,40172997,"Essex Property Trust, Inc.",10502300
"Travelers Companies, Inc.",22438220,Sempra Energy,22305016
Sempra Energy,22763214,Diageo plc,71320000
Capital One Financial Corporation,35360004,"Fidelity National Information Services, Inc.",24714963
"MetLife, Inc.",67442713,Ford Motor Company,295929913
Baxter International Inc.,37169097,"ServiceNow, Inc.",11006338
"Xilinx, Inc.",30583554,"Motorola Solutions, Inc.",18078767
"Advanced Micro Devices, Inc.",107711218,BP p.l.c.,493705448
Royal Bank of Canada,40873276,GlaxoSmithKline plc,144055492
BB&T Corporation,61197584,Eversource Energy,39628865
Moody's Corporation,14959478,"Ross Stores, Inc.",30279172
"Worldpay, Inc.",23411648,Baxter International Inc.,36449224
"Activision Blizzard, Inc.",57097169,Marathon Petroleum Corporation,53300239
Dollar General Corporation,19872314,"Dow, Inc.",60052410
FirstEnergy Corp.,65113979,Toronto-Dominion Bank,50688594
"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",7401787,LVMH Moet Hennessy Louis Vuitton SE,7077766
Emerson Electric Co.,47199698,BB&T Corporation,60117283
"Motorola Solutions, Inc.",18335326,IQVIA Holdings Inc,18086897
Weyerhaeuser Company,107715183,Edwards Lifesciences Corporation,15676107
Bank of New York Mellon Corporation,64999211,"Marriott International, Inc. Class A",20553264
Amphenol Corporation,32440400,Moody's Corporation,14718198
Toronto-Dominion Bank,52502160,Valero Energy Corporation,33545136
Xcel Energy Inc.,46583479,Bank of New York Mellon Corporation,63780731
Marathon Petroleum Corporation,54243048,Weyerhaeuser Company,106689358
Eaton Corporation plc,33329894,Commonwealth Bank of Australia,49044520
BHP Group,114729934,Allianz SE,11822055
British American Tobacco PLC,76736778,HCA Healthcare Inc,20476562
Occidental Petroleum Corporation,62787147,FirstEnergy Corp.,64283566
"L3Harris Technologies, Inc.",13984134,"Autodesk, Inc.",16810888
"Prudential Financial, Inc.",32659263,Cognizant Technology Solutions Corporation Class A,43124146
Cognizant Technology Solutions Corporation,43940293,Eaton Corp. Plc,32743717
Dow Inc.,61095269,Xcel Energy Inc.,45709087
ASML Holding N.V.,11616943,"Williams Companies, Inc.",96543934
Allianz Group,12360270,Global Payments Inc.,16856884
Ford Motor Company,301331027,"Twitter, Inc.",77309128
"ServiceNow, Inc.",11185853,Ball Corporation,38395968
Sanofi,32316804,DTE Energy Company,20926815
"CBRE Group, Inc.",51391091,"Dollar Tree, Inc.",24909720
Humana Inc.,10226514,Humana Inc.,10031921
Global Payments Inc.,17087422,Willis Towers Watson Public Limited Company,13823041
Valero Energy Corporation,34131975,"Activision Blizzard, Inc.",56051094
"Dollar Tree, Inc.",25251187,Cintas Corporation,10113263
Ball Corporation,38877836,Dollar General Corporation,19479723
"Marriott International, Inc.",20967637,HP Inc.,126576272
"Alexandria Real Estate Equities, Inc.",18278737,L3Harris Technologies Inc,13878371
Lam Research Corporation,11826351,"CBRE Group, Inc. Class A",50940221
KLA Corporation,18336255,"FleetCor Technologies, Inc.",9197003
IQVIA Holdings Inc.,18316909,"Boston Properties, Inc.",19905058
Australia and New Zealand Banking Group Ltd.,144730016,"Delta Air Lines, Inc.",45204810
DTE Energy Company,21203264,Sanofi,30439377
"HCA Healthcare, Inc.",20865021,"Yum! Brands, Inc.",22963828
"HCP, Inc.",78731444,"Alexandria Real Estate Equities, Inc.",18002723
National Australia Bank Ltd.,136702430,China Construction Bank Corporation Class H,3269822364
Johnson Controls International plc,61688770,ASML Holding NV,11133935
"Delta Air Lines, Inc.",45799957,"IDEXX Laboratories, Inc.",9121855
Willis Towers Watson Public Limited Company,14008856,Johnson Controls International plc,60570709
"Boston Properties, Inc.",20293053,"AutoZone, Inc.",2274419
"AutoZone, Inc.",2312252,"American Water Works Company, Inc.",21551186
"YUM! Brands, Inc.",23449609,IHS Markit Ltd.,38980446
"FleetCor Technologies, Inc.",9324995,"HCP, Inc.",77475300
"American Water Works Company, Inc.",21855515,Vanguard FTSE Emerging Markets ETF,58186667
"Autodesk, Inc.",17126002,Allstate Corporation,24190440
Microchip Technology Incorporated,27539982,eBay Inc.,61888201
The Allstate Corp.,24689491,TransDigm Group Incorporated,5051677
"Verisk Analytics, Inc.",16876592,Cerner Corporation,33304748
China Construction Bank Corporation,3312785010,Verisk Analytics Inc,16640626
Public Service Enterprise Group Incorporated,41902158,"General Mills, Inc.",46304043
IHS Markit Ltd.,39516189,Vanguard S&P 500 ETF,9029838
TransDigm Group Incorporated,5120651,Public Service Enterprise Group Inc,41054573
"General Mills, Inc.",47174991,M&T Bank Corporation,14166080
V.F. Corporation,28051212,V.F. Corporation,27564875
Entergy Corporation,22434114,Unilever NV,40932263
Cintas Corporation,10267501,TE Connectivity Ltd.,24896884
eBay Inc.,63151029,"VeriSign, Inc.",11395221
Vanguard Index Funds - Vanguard S&P 500 ETF,9126193,"Total System Services, Inc.",17457271
"Constellation Brands, Inc.",12137423,Microchip Technology Incorporated,27206092
"IDEXX Laboratories, Inc.",9247387,Clorox Company,15339187
The Clorox Company,15541246,"Constellation Brands, Inc. Class A",11903039
"Williams Companies, Inc.",98470448,Siemens AG,21218219
HP Inc.,128721015,"Waste Connections, Inc.",25635889
Extra Space Storage Inc.,20911092,SoftBank Group Corp.,44856388
Vanguard International Equity Index Funds - Vanguard FTSE Emerging Markets ETF,58343481,"Consolidated Edison, Inc.",26363525
TE Connectivity Ltd.,25331319,"PPG Industries, Inc.",19740609
"Mid-America Apartment Communities, Inc.",18881481,Mettler-Toledo International Inc.,2737145
Novo Nordisk A/S,47874611,BHP Group Ltd,81544922
"T. Rowe Price Group, Inc.",20177233,"Cadence Design Systems, Inc.",32351961
"Consolidated Edison, Inc.",26943155,Entergy Corporation,22121567
"O'Reilly Automotive, Inc.",5930693,"Ping An Insurance (Group) Company of China, Ltd. Class H",189384358
McKesson Corporation,16094692,Concho Resources Inc.,21676850
"Total System Services, Inc.",17759666,"Host Hotels & Resorts, Inc.",122107250
"PPG Industries, Incorporated",20084688,Ameren Corporation,29612301
Siemens Aktiengesellschaft,22214643,Ingersoll-Rand Plc,17479451
"SunTrust Banks, Inc.",35085382,Centene Corporation,42211811
Cerner Corporation,33776244,Airbus SE,15501146
Unilever PLC,37378588,Electronic Arts Inc.,21816656
"Chipotle Mexican Grill, Inc.",2883286,Novo Nordisk A/S Class B,45609683
"Hartford Financial Services Group, Inc.",39015898,"McCormick & Company, Incorporated",14216876
"Waste Connections, Inc.",25863503,British American Tobacco p.l.c.,60549705
Ping An Ins (Grp) Co of CN Ltd,190412642,"Mid-America Apartment Communities, Inc.",18583700
"McCormick & Company, Incorporated",14406576,Extra Space Storage Inc.,20559717
"Tyson Foods, Inc.",27410672,MSCI Inc. Class A,9133746
Fastenal Company,67317971,Lam Research Corporation,11607718
Ameren Corporation,30022835,"Tyson Foods, Inc. Class A",26995078
"Synopsys, Inc.",16563138,T. Rowe Price Group,19849807
M&T Bank Corporation,14354288,Anheuser-Busch InBev SA/NV,21439450
Vanguard Index Funds - Vanguard Total Stock Market ETF,14509928,Royal Caribbean Cruises Ltd.,17927360
Airbus SE,16157711,Fastenal Company,66529325
"UDR, Inc.",46343409,"SunTrust Banks, Inc.",34466604
Electronic Arts Inc.,22247309,"AMETEK, Inc.",23798692
"VeriSign, Inc.",11556414,"O'Reilly Automotive, Inc.",5811661
Ingersoll-Rand Plc,17825020,"Hartford Financial Services Group, Inc.",38475384
W. P. Carey Inc.,24606389,"Align Technology, Inc.",7824388
"Zimmer Biomet Holdings, Inc.",15453961,KLA Corporation,18105230
Anheuser-Busch Inbev SA,22413149,"Alexion Pharmaceuticals, Inc.",16328757
"Host Hotels & Resorts, Inc.",123946009,"Paychex, Inc.",25896846
CMS Energy Corporation,35171740,Enbridge Inc.,59033662
"Paychex, Inc.",26398764,McKesson Corporation,15824771
"Cadence Design Systems, Inc.",32755826,"Synopsys, Inc.",16339591
Discover Financial Services,25322884,"Church & Dwight Co., Inc.",28627884
Enbridge Inc.,61387908,"Chipotle Mexican Grill, Inc.",2846615
"AMETEK, Inc.",24128928,Hilton Worldwide Holdings Inc,21300782
Aptiv PLC,23321638,Vanguard Total Stock Market ETF,13712218
Rio Tinto,39637467,Cummins Inc.,11961767
Cincinnati Financial Corporation,18879406,Corning Inc,61624267
MSCI Inc.,9256592,"UDR, Inc.",45613044
Vulcan Materials Company,14438531,Meituan Dianping,241222038
Sony Corporation,34601431,LyondellBasell Industries NV,23718677
"Church & Dwight Co., Inc.",29006550,Pioneer Natural Resources Company,13121749
"Keysight Technologies, Inc.",21037786,Ulta Beauty Inc,5814049
LyondellBasell Industries N.V.,24141027,CMS Energy Corporation,34698646
Royal Caribbean Cruises Ltd.,18162501,Omnicom Group Inc,24423116
Hilton Worldwide Holdings Inc.,21712911,"Expedia Group, Inc.",15029150
Western Digital Corporation,32104981,PACCAR Inc,27798977
ResMed Inc.,15327232,CSL Limited,12561375
Bayer Aktiengesellschaft,27368729,KeyCorp,111541643
PACCAR Inc,28272678,W. P. Carey Inc.,24238141
SoftBank Group Corp.,46981314,Vulcan Materials Company,14249901
KeyCorp,112955500,Monster Beverage Corporation,30544183
Regions Financial Corporation,124955465,Veeva Systems Inc Class A,11994515
Omnicom Group Inc.,24748714,"Workday, Inc. Class A",9457761
"Evergy, Inc.",31166120,Cincinnati Financial Corporation,18666081
"Cummins, Inc.",12170719,Banco Santander S.A.,449512844
Centene Corporation,42806796,Discover Financial Services,24842900
"Expedia Group, Inc.",15279494,"Diamondback Energy, Inc.",17476990
Mettler-Toledo International Inc.,2773530,"Best Buy Co., Inc.",27269292
Southwest Airlines Co.,36188931,Synchrony Financial,54418975
Lululemon Athletica Inc.,10063552,Westpac Banking Corporation,95493245
L'Oréal S.A.,7149141,Hess Corporation,29621493
Hess Corporation,29992051,Housing Development Finance Corporation Limited,60812784
Bank of Nova Scotia,34847903,Sony Corporation,33015530
"ANSYS, Inc.",9053388,"Regeneron Pharmaceuticals, Inc.",5967020
Edison International,26549849,Keysight Technologies Inc,20764359
"Banco Santander, SA",470077554,Industrial and Commercial Bank of China Limited Class H,2750083235
"Agilent Technologies, Inc.",24950780,Aptiv PLC,22964160
Industrial & Commercial Bank of China Ltd.,2790926817,"Cooper Companies, Inc.",5496773
"Darden Restaurants, Inc.",14961350,Laboratory Corporation of America Holdings,10701091
"Tesla, Incorporated",7691964,"Evergy, Inc.",30742139
BASF SE,26833314,Regions Financial Corporation,123517088
"Iberdrola, S.A.",185601595,ResMed Inc.,15114468
Laboratory Corporation of America Holdings,10843471,Nucor Corporation,33371467
Duke Realty Corporation,58669152,"Maxim Integrated Products, Inc.",30687909
Corning Incorporated,62772063,"Agilent Technologies, Inc.",24502581
Canadian National Railway Company,20351547,"ANSYS, Inc.",8930202
Synchrony Financial,55339419,Bank of Nova Scotia,33615713
"Best Buy Co., Inc.",27605353,"Broadridge Financial Solutions, Inc.",14302196
D.R. Horton Inc.,37831313,Duke Realty Corporation,57755590
Vodafone Group Plc (Vodafone UK),939613017,PPL Corporation,58637844
"Citizens Financial Group, Inc.",51389678,Canadian National Railway Company,19593030
"Maxim Integrated Products, Inc.",31068831,Southwest Airlines Co.,35682611
"CoStar Group, Inc.",3224043,Reliance Industries Limited,106295425
PPL Corporation,59843270,Unilever PLC,29645381
Regency Centers Corporation,26661698,"Darden Restaurants, Inc.",14769112
"Copart, Inc.",22639656,"Citizens Financial Group, Inc.",50752705
"Stanley Black & Decker, Inc.",12414864,Lululemon Athletica Inc,9952270
Archer-Daniels-Midland Company,44424612,International Flavors & Fragrances Inc.,12331976
"Mitsubishi UFJ Financial Group, Inc.",346507891,"Zimmer Biomet Holdings, Inc.",15173826
"United Airlines Holdings, Inc.",20577068,Arthur J. Gallagher & Co.,20380979
Arthur J. Gallagher & Co.,20650184,"United Airlines Holdings, Inc.",20346757
"Sun Communities, Inc.",12548952,Archer-Daniels-Midland Company,43630652
"Alexion Pharmaceuticals, Inc.",16649126,Fortive Corp.,21816418
Equifax Inc.,12795401,"Square, Inc. Class A",24518591
"Broadridge Financial Solutions, Inc.",14484063,L'Oreal SA,6582943
Nucor Corporation,33816254,Corteva Inc,59951218
Prudential Plc,97382619,"NetApp, Inc.",28658866
Vornado Realty Trust,27908668,"CoStar Group, Inc.",3188367
"Palo Alto Networks, Inc.",8343076,"Stanley Black & Decker, Inc.",12204805
"Corteva, Inc.",60990703,Vornado Realty Trust,27471792
Pioneer Natural Resources Company,13359563,"Freeport-McMoRan, Inc.",151671410
The Hershey Company,11780343,Edison International,26030116
Monster Beverage Corporation,31113982,Regency Centers Corporation,26234075
"Martin Marietta Materials, Inc.",6837038,adidas AG,5430626
Waters Corporation,7613450,"Principal Financial Group, Inc.",30075738
"CenterPoint Energy, Inc.",57819401,BASF SE,25635215
Parker-Hannifin Corporation,9509944,Genuine Parts Company,16628149
Huntington Bancshares Incorporated,119979155,Fifth Third Bancorp,61579922
Celanese Corporation,14078564,Dover Corporation,17136084
"Cardinal Health, Inc.",35800690,Bayer AG,26164801
"Diamondback Energy, Inc.",17698267,Equifax Inc.,12627478
Fifth Third Bancorp,62622108,Tesla Inc,7559482
AIR LIQUIDE S.A.,12358606,Splunk Inc.,13387399
"W.W. Grainger, Inc.",5890814,"Palo Alto Networks, Inc.",8249428
Veeva Systems Inc.,12120296,"Copart, Inc.",22353443
Invitation Homes Inc.,62328263,"Cardinal Health, Inc.",35385198
The Kroger Co.,67614772,Iberdrola SA,173859807
"Principal Financial Group, Inc.",30454224,Hewlett Packard Enterprise Co.,110003831
"Regeneron Pharmaceuticals, Inc.",6079347,"Invitation Homes, Inc.",61500175
Dover Corporation,17343884,Huntington Bancshares Incorporated,118505253
Hewlett Packard Enterprise Company,111920044,Prudential plc,78525445
adidas AG,5668664,"CenterPoint Energy, Inc.",57022325
BHP Group,77187094,Incyte Corporation,19182727
State Street Corporation,28577797,Teleflex Incorporated,4905478
Teleflex Incorporated,4971747,CDW Corp.,14623861
Lennar Corporation,30933879,Waters Corporation,7510699
CDW Corporation,14769668,"D.R. Horton, Inc.",37359205
"The Cooper Companies, Inc.",5566546,"Ameriprise Financial, Inc.",11066149
Woolworths Group Limited,65875116,China Mobile Limited,188120344
AmerisourceBergen Corporation,18910594,"Expeditors International of Washington, Inc.",21124885
"Hasbro, Inc.",14129588,"Republic Services, Inc.",18455644
Enel S.p.A.,228068220,AmerisourceBergen Corporation,18676370
"Workday, Inc.",9609541,"Mitsubishi UFJ Financial Group, Inc.",329819998
Reckitt Benckiser Group plc,20887672,"Sun Communities, Inc.",12380800
Genuine Parts Company,16835671,Parker-Hannifin Corporation,9329644
Zurich Insurance Group AG,4261292,Xylem Inc.,18835474
Symantec Corporation,66422210,State Street Corporation,28063773
Concho Resources Inc.,21953438,Vodafone Group Plc,826908000
"Ameriprise Financial, Inc.",11256881,"W.W. Grainger, Inc.",5824307
"NetApp, Inc.",29024873,"Martin Marietta Materials, Inc.",6750164
China Mobile Limited,189728544,Rio Tinto plc,30728000
"Expeditors International of Washington, Inc.",21383240,"CarMax, Inc.",17851087
"Conagra Brands, Inc.",54855180,Loews Corporation,28305496
IAC/InterActiveCorp,7033024,Hershey Company,11537069
Federal Realty Investment Trust,11812062,Koninklijke Philips N.V.,32958646
"Equity LifeStyle Properties, Inc.",12304152,National Australia Bank Limited,77737502
Republic Services Inc.,18822224,Deutsche Telekom AG,92077350
Koninklijke Philips N.V.,33792985,"WellCare Health Plans, Inc.",5310530
Deutsche Telekom AG,95823941,IAC/InterActiveCorp.,6958409
Seagate Technology plc,28380363,Australia and New Zealand Banking Group Limited,78568492
Lloyds Banking Group Plc,2486592420,"Gartner, Inc.",9377426
International Flavors & Fragrances Inc.,12473664,Atmos Energy Corporation,14282398
Reliance Industries Limited,93016828,Western Digital Corporation,31701398
Atmos Energy Corporation,14470135,Enel SpA,217960690
Camden Property Trust,14426035,Quest Diagnostics Incorporated,14770746
Housing Development Finance Corporation Ltd.,53578174,Celanese Corporation,13902556
Fortive Corporation,22233993,"DENTSPLY SIRONA, Inc.",25646851
Goodman Group,165056520,Federal Realty Investment Trust,11614619
"Skyworks Solutions, Inc.",18657776,Westinghouse Air Brake Technologies Corporation,19202190
"C.H. Robinson Worldwide, Inc.",17460908,Camden Property Trust,14226101
Quest Diagnostics Incorporated,14963272,Air Liquide SA,10633244
Danone S.A.,17469927,Lennar Corporation Class A,30529114
Iron Mountain Incorporated,45733966,"Arista Networks, Inc.",5698109
